"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","Class"
"1",167,255,152,95,71,105,119,101,77,60,71,75,70,60,50,53,55,53,48,42,42,43,42,39,36,105,119,101,77,60,83,90,81,67,54,63,66,63,55,47,49,51,49,45,40,40,41,40,38,35,71,75,70,60,50,63,66,63,55,47,53,55,53,48,42,44,45,44,41,37,37,38,37,35,33,53,55,53,48,42,49,51,49,45,40,44,45,44,41,37,38,39,38,36,34,34,34,34,32,30,42,43,42,39,36,40,41,40,38,35,37,38,37,35,33,34,34,34,32,30,30,30,30,29,28,0
"2",161,255,143,86,62,101,116,96,71,55,68,72,66,56,47,50,52,50,45,39,40,40,39,37,34,101,116,96,71,55,79,86,77,62,50,60,63,59,52,44,47,48,46,42,38,38,39,38,35,33,68,72,66,56,47,60,63,59,52,44,50,52,50,45,39,42,43,41,39,35,35,36,35,33,31,50,52,50,45,39,47,48,46,42,38,42,43,41,39,35,36,37,36,34,32,32,32,32,30,28,40,40,39,37,34,38,39,38,35,33,35,36,35,33,31,32,32,32,30,28,28,29,28,27,26,0
"5",147,255,148,87,61,96,114,97,72,54,66,70,66,56,46,49,51,49,44,39,39,40,39,36,33,96,114,97,72,54,77,85,77,62,50,58,62,58,51,43,46,47,46,42,37,37,38,37,35,32,66,70,66,56,46,58,62,58,51,43,49,51,49,44,39,41,42,41,38,34,34,35,34,32,30,49,51,49,44,39,46,47,46,42,37,41,42,41,38,34,35,36,36,34,31,31,31,31,30,28,39,40,39,36,33,37,38,37,35,32,34,35,34,32,30,31,31,31,30,28,28,28,28,27,25,0
"8",128,245,255,134,86,98,129,131,100,74,72,82,83,73,61,56,60,60,56,50,45,47,47,45,41,98,129,131,100,74,82,98,99,84,66,65,72,73,66,56,52,56,56,53,47,43,45,45,43,40,72,82,83,73,61,65,72,73,66,56,56,60,60,56,50,47,49,49,47,43,40,41,41,40,37,56,60,60,56,50,52,56,56,53,47,47,49,49,47,43,41,43,43,41,39,36,37,37,36,34,45,47,47,45,41,43,45,45,43,40,40,41,41,40,37,36,37,37,36,34,33,33,33,33,31,0
"10",122,231,255,141,103,95,126,131,104,81,71,82,84,75,64,55,60,61,58,52,45,47,48,46,43,95,126,131,104,81,80,97,100,87,71,64,72,73,68,59,52,56,57,54,49,43,45,46,44,41,71,82,84,75,64,64,72,73,68,59,55,60,61,58,52,47,50,50,48,45,40,42,42,41,39,55,60,61,58,52,52,56,57,54,49,47,50,50,48,45,41,43,44,42,40,36,38,38,37,35,45,47,48,46,43,43,45,46,44,41,40,42,42,41,39,36,38,38,37,35,33,34,34,33,32,0
"11",102,189,255,139,87,82,110,121,97,72,62,73,76,69,58,49,53,55,52,46,40,42,43,41,38,82,110,121,97,72,70,86,91,79,64,57,64,66,61,53,46,50,51,48,44,38,40,41,39,37,62,73,76,69,58,57,64,66,61,53,49,53,55,52,46,41,44,45,43,40,35,37,37,36,34,49,53,55,52,46,46,50,51,48,44,41,44,45,43,40,37,38,39,38,36,32,33,34,33,31,40,42,43,41,38,38,40,41,39,37,35,37,37,36,34,32,33,34,33,31,29,30,30,30,29,0
"12",131,255,210,113,74,96,123,117,88,65,69,77,76,66,54,52,56,55,51,45,42,44,43,41,38,96,123,117,88,65,79,93,90,74,59,62,68,67,60,51,49,52,51,48,43,40,42,41,39,36,69,77,76,66,54,62,68,67,60,51,52,56,55,51,45,44,46,46,43,39,37,38,38,37,34,52,56,55,51,45,49,52,51,48,43,44,46,46,43,39,39,40,40,38,35,34,35,34,33,31,42,44,43,41,38,40,42,41,39,36,37,38,38,37,34,34,35,34,33,31,30,31,31,30,29,0
"15",195,255,135,85,63,112,121,96,72,55,74,76,69,58,48,54,55,52,47,41,42,43,41,39,35,112,121,96,72,55,87,91,79,64,51,65,67,62,53,45,50,51,49,44,39,41,41,40,37,34,74,76,69,58,48,65,67,62,53,45,54,55,52,47,41,45,45,44,40,36,37,38,37,35,32,54,55,52,47,41,50,51,49,44,39,45,45,44,40,36,39,39,38,36,33,34,34,33,32,30,42,43,41,39,35,41,41,40,37,34,37,38,37,35,32,34,34,33,32,30,30,30,30,29,27,1
"17",143,255,158,92,64,95,115,100,74,56,66,71,67,57,47,49,51,50,45,40,39,40,39,37,34,95,115,100,74,56,77,86,79,64,51,58,62,60,52,45,46,48,46,43,38,37,38,38,36,33,66,71,67,57,47,58,62,60,52,45,49,51,50,45,40,41,42,41,39,35,34,35,35,33,31,49,51,50,45,40,46,48,46,43,38,41,42,41,39,35,36,37,36,34,32,31,32,31,30,28,39,40,39,37,34,37,38,38,36,33,34,35,35,33,31,31,32,31,30,28,28,28,28,27,26,0
"19",168,255,139,86,61,103,116,95,71,54,69,72,67,56,46,51,52,50,45,39,40,41,40,37,34,103,116,95,71,54,81,87,77,62,50,61,63,59,52,44,47,49,47,43,38,38,39,38,36,33,69,72,67,56,46,61,63,59,52,44,51,52,50,45,39,42,43,42,39,35,35,36,35,33,31,51,52,50,45,39,47,49,47,43,38,42,43,42,39,35,37,37,36,34,32,32,32,32,30,28,40,41,40,37,34,38,39,38,36,33,35,36,35,33,31,32,32,32,30,28,29,29,29,27,26,0
"22",146,255,185,106,74,99,121,110,84,63,70,76,73,64,53,53,55,54,50,44,42,43,43,41,37,99,121,110,84,63,81,92,87,72,57,62,67,65,58,49,49,52,51,47,42,40,41,41,39,36,70,76,73,64,53,62,67,65,58,49,53,55,54,50,44,44,46,45,42,39,37,38,38,36,34,53,55,54,50,44,49,52,51,47,42,44,46,45,42,39,39,40,39,37,35,34,34,34,33,31,42,43,43,41,37,40,41,41,39,36,37,38,38,36,34,34,34,34,33,31,30,31,31,30,28,0
"24",142,255,183,104,71,97,120,108,82,61,68,75,72,62,51,51,54,53,49,43,41,42,42,40,36,97,120,108,82,61,79,90,85,70,56,61,66,64,57,48,48,50,49,46,41,39,40,40,38,35,68,75,72,62,51,61,66,64,57,48,51,54,53,49,43,43,45,44,41,38,36,37,37,35,33,51,54,53,49,43,48,50,49,46,41,43,45,44,41,38,38,39,38,37,34,33,34,33,32,30,41,42,42,40,36,39,40,40,38,35,36,37,37,35,33,33,34,33,32,30,30,30,30,29,28,0
"25",148,255,149,88,61,96,114,97,72,54,66,71,66,56,46,49,51,49,45,39,39,40,39,36,33,96,114,97,72,54,77,85,77,63,50,58,62,59,51,44,46,47,46,42,37,37,38,37,35,32,66,71,66,56,46,58,62,59,51,44,49,51,49,45,39,41,42,41,38,34,34,35,34,33,30,49,51,49,45,39,46,47,46,42,37,41,42,41,38,34,36,36,36,34,31,31,31,31,30,28,39,40,39,36,33,37,38,37,35,32,34,35,34,33,30,31,31,31,30,28,28,28,28,27,25,0
"26",157,255,143,85,60,99,115,96,71,54,67,71,66,56,46,50,51,49,44,39,39,40,39,36,33,99,115,96,71,54,78,86,77,62,49,59,62,59,51,43,46,48,46,42,37,37,38,37,35,32,67,71,66,56,46,59,62,59,51,43,50,51,49,44,39,41,42,41,38,34,35,35,34,33,30,50,51,49,44,39,46,48,46,42,37,41,42,41,38,34,36,37,36,34,31,31,32,31,30,28,39,40,39,36,33,37,38,37,35,32,35,35,34,33,30,31,32,31,30,28,28,28,28,27,26,0
"27",155,255,149,89,63,99,116,98,73,55,67,72,67,57,47,50,52,50,45,40,40,41,40,37,34,99,116,98,73,55,79,87,78,63,51,60,63,60,52,44,47,48,47,43,38,38,39,38,36,33,67,72,67,57,47,60,63,60,52,44,50,52,50,45,40,42,43,42,39,35,35,36,35,33,31,50,52,50,45,40,47,48,47,43,38,42,43,42,39,35,36,37,36,34,32,32,32,32,30,28,40,41,40,37,34,38,39,38,36,33,35,36,35,33,31,32,32,32,30,28,28,29,28,27,26,0
"28",147,255,149,88,61,96,114,97,72,54,66,71,66,56,46,49,51,49,44,39,39,40,39,36,33,96,114,97,72,54,77,85,77,63,50,58,62,59,51,43,46,47,46,42,37,37,38,37,35,32,66,71,66,56,46,58,62,59,51,43,49,51,49,45,39,41,42,41,38,34,34,35,34,33,30,49,51,49,44,39,46,47,46,42,37,41,42,41,38,34,35,36,36,34,31,31,31,31,30,28,39,40,39,36,33,37,38,37,35,32,34,35,34,33,30,31,31,31,30,28,28,28,28,27,25,0
"29",181,255,146,93,74,109,121,100,77,61,73,77,71,61,51,54,56,54,49,43,43,44,43,40,37,109,121,100,77,61,86,92,82,67,55,65,67,63,56,48,51,52,50,46,41,41,42,41,39,36,73,77,71,61,51,65,67,63,56,48,55,56,54,49,43,45,46,45,42,38,38,39,38,36,33,54,56,54,49,43,51,52,50,46,41,45,46,45,42,38,40,40,39,37,34,35,35,34,33,31,43,44,43,40,37,41,42,41,39,36,38,39,38,36,33,35,35,34,33,31,31,31,31,30,28,0
"30",148,255,149,88,62,96,114,97,72,55,66,71,66,56,46,49,51,49,45,39,39,40,39,36,33,96,114,97,72,55,77,85,77,63,50,58,62,59,51,44,46,47,46,42,37,37,38,37,35,32,66,71,66,56,46,58,62,59,51,44,49,51,49,45,39,41,42,41,38,34,34,35,34,33,30,49,51,49,45,39,46,47,46,42,37,41,42,41,38,34,36,36,36,34,31,31,31,31,30,28,39,40,39,36,33,37,38,37,35,32,34,35,34,33,30,31,31,31,30,28,28,28,28,27,26,0
"31",190,255,135,84,59,110,120,95,70,54,72,75,68,57,47,53,54,51,46,40,42,42,41,38,34,110,120,95,70,54,86,90,78,62,50,64,66,61,52,44,49,50,48,43,38,40,40,39,36,33,72,75,68,57,47,64,66,61,52,44,53,54,51,46,40,44,44,43,39,36,37,37,36,34,31,53,54,51,46,40,49,50,48,43,38,44,44,43,39,36,38,39,37,35,32,33,33,33,31,29,42,42,41,38,34,40,40,39,36,33,37,37,36,34,31,33,33,33,31,29,30,30,29,28,27,1
"32",169,255,150,94,72,105,119,100,77,60,71,75,70,60,50,53,55,53,48,42,42,43,42,39,36,105,119,100,77,60,83,90,81,67,55,63,66,62,55,47,49,51,49,45,41,40,41,40,38,35,71,75,70,60,50,63,66,62,55,47,53,55,53,48,42,44,45,44,41,37,37,38,37,35,33,53,55,53,48,42,49,51,49,45,41,44,45,44,41,37,39,39,38,36,34,34,34,34,32,30,42,43,42,39,36,40,41,40,38,35,37,38,37,35,33,34,34,34,32,30,30,31,30,29,28,0
"34",207,255,132,81,58,116,123,96,70,53,75,77,69,57,47,55,55,52,46,40,43,43,42,38,35,116,123,96,70,53,89,92,79,63,50,66,67,62,53,44,51,52,49,44,39,41,41,40,37,34,75,77,69,57,47,66,67,62,53,44,55,56,52,46,40,45,46,44,40,36,38,38,37,35,32,55,55,52,46,40,51,52,49,44,39,45,46,44,40,36,39,40,38,36,33,34,34,33,32,30,43,43,42,38,35,41,41,40,37,34,38,38,37,35,32,34,34,33,32,30,31,31,30,29,27,1
