"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","Class"
"1",9,9,10,9,8,9,9,8,9,9,9,9,8,9,8,8,21,8,8,9,8,8,9,9,15,19,10,9,8,10,9,8,9,10,17,18,10,7,8,7,9,9,9,9,14,31,10,9,8,8,9,9,9,14,18,16,9,9,9,9,9,10,9,9,0
"2",8,9,7,8,8,8,8,8,8,10,8,9,8,8,8,8,8,9,8,8,9,8,9,9,8,10,7,7,8,8,9,9,11,9,8,9,9,8,9,9,6,10,10,15,17,8,8,9,8,8,30,31,24,8,8,9,8,9,5,9,7,10,11,8,0
"5",9,9,9,6,11,9,9,9,8,9,9,9,6,12,10,9,8,9,9,9,10,20,31,9,10,9,11,9,8,10,28,11,9,9,10,9,9,9,8,25,10,10,10,8,9,8,9,17,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,0
"8",12,13,12,12,12,12,12,11,12,12,12,12,12,12,12,13,13,13,11,12,12,12,11,12,12,13,12,12,12,12,11,12,12,12,13,12,12,11,12,12,13,12,13,12,12,12,12,12,13,13,12,13,12,12,12,13,13,13,12,13,13,12,12,12,0
"10",13,14,14,13,13,13,13,12,12,13,13,13,12,12,12,13,13,13,13,13,13,13,13,12,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,12,11,13,12,12,12,13,13,12,12,13,13,13,12,13,0
"11",14,14,13,14,13,14,14,13,13,14,13,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,13,13,14,14,13,15,14,14,14,13,13,14,14,14,14,14,15,14,13,14,14,14,24,15,14,13,14,0
"12",12,11,12,12,11,10,11,12,13,12,13,11,12,12,12,11,12,12,12,11,11,12,12,12,11,12,10,11,11,11,11,11,12,11,11,11,11,11,12,11,11,11,11,11,12,11,11,13,12,11,12,11,11,12,12,12,13,11,11,10,11,13,12,12,0
"15",6,7,8,8,7,7,6,8,7,7,7,8,8,6,7,7,7,6,7,8,7,7,8,7,7,8,6,8,6,8,8,8,7,7,7,6,7,7,7,7,7,8,7,7,7,7,7,6,8,7,7,6,7,7,8,7,7,7,8,8,6,8,8,7,1
"17",10,9,9,10,9,9,10,9,9,10,9,9,10,9,9,10,9,10,9,10,9,10,10,10,9,9,10,10,9,9,9,10,9,10,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,10,10,9,10,9,10,9,10,10,8,9,9,10,10,9,0
"19",6,8,8,8,8,8,8,7,6,7,8,8,8,8,9,8,6,8,8,8,8,7,8,8,6,8,8,8,7,8,7,8,6,9,8,7,8,8,8,8,6,8,8,8,7,8,8,8,6,8,7,8,8,8,8,8,6,9,8,8,8,8,8,8,0
