"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","Class"
"1",0,2,3,5,2,0,0,2,1,0,1,1,2,0,0,0,0,0,1,0,1,2,2,5,3,1,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,3,1,2,3,6,5,0,0,1,1,1,6,3,3,3,6,4,2,3,2,7,5,2,2,2,7,5,3,2,4,6,0
"2",4,1,2,3,2,1,0,2,1,2,0,1,1,0,0,1,0,1,1,0,1,3,3,3,5,2,1,2,1,3,0,1,2,2,0,2,0,0,0,0,2,1,4,3,0,1,4,5,6,5,0,2,3,2,4,0,0,2,1,0,4,1,1,3,0,3,1,4,3,1,0,3,5,2,6,1,2,3,4,3,0
"5",0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0
"8",0,0,1,0,5,0,0,0,1,3,0,0,0,0,5,0,0,1,1,6,0,0,2,0,4,0,0,0,2,4,0,1,3,1,6,0,0,0,1,4,0,0,0,0,5,0,0,3,2,6,0,0,0,1,4,0,0,0,1,4,1,0,0,1,4,0,0,1,0,3,0,0,0,1,3,0,0,0,1,4,0
"10",0,0,0,0,4,3,0,1,0,3,5,0,2,0,4,0,0,0,0,2,0,1,1,0,3,3,0,0,0,3,5,0,1,3,2,0,0,1,0,4,0,0,0,1,2,3,0,0,0,2,4,0,4,0,5,0,0,0,1,2,0,0,0,1,2,2,0,4,0,3,4,0,2,0,3,0,0,1,0,4,0
"11",0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,3,4,2,1,1,2,2,0,0,0,0,0,0,1,0,0,1,0,1,2,3,3,2,3,3,3,4,4,2,3,4,5,3,2,3,3,4,3,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,1,1,3,1,2,0
"12",0,0,2,0,4,0,0,2,0,3,0,0,0,2,5,0,0,2,1,5,0,0,1,0,3,0,0,1,0,6,0,1,2,1,3,0,0,0,0,3,0,0,1,3,3,1,0,1,2,5,0,0,0,1,4,1,0,0,0,3,0,1,0,0,5,0,0,2,2,2,0,0,0,0,3,0,0,1,1,5,0
"15",3,2,3,4,2,3,1,4,3,2,2,2,3,1,2,0,2,2,4,1,1,2,1,0,0,2,1,4,4,5,2,0,3,3,1,0,3,0,1,1,0,1,1,2,1,1,2,4,3,6,2,0,4,3,1,3,2,1,3,1,2,1,2,4,0,3,2,4,3,3,1,0,1,0,0,1,3,1,3,1,1
"17",0,1,1,1,1,3,1,3,2,0,2,3,2,5,0,1,1,2,0,1,0,3,1,2,2,2,2,5,1,0,3,2,5,5,2,2,4,7,1,3,2,2,4,1,3,4,2,5,6,5,4,1,5,5,4,2,1,2,2,0,3,0,4,6,6,0,1,2,2,3,1,0,3,3,1,1,0,3,4,1,0
"19",2,0,0,1,0,1,1,1,1,0,3,0,1,2,0,1,1,1,4,0,2,5,4,5,4,3,0,4,4,2,1,1,4,5,0,0,1,4,2,0,4,0,3,4,1,2,3,3,2,6,1,1,3,6,7,2,0,3,1,1,5,0,3,3,0,1,1,2,2,1,1,2,1,1,1,0,2,1,0,1,0
"22",2,0,3,2,0,1,0,4,2,0,2,0,0,4,0,1,1,2,2,2,1,0,2,4,0,0,0,1,1,0,2,1,4,5,3,2,4,5,2,4,2,0,4,2,1,1,2,4,2,2,0,4,2,4,5,1,2,4,3,1,5,4,4,2,5,5,3,3,3,6,5,3,3,2,5,3,1,3,5,3,0
"24",2,2,0,1,0,3,4,1,4,0,3,0,1,7,1,0,1,3,3,0,2,2,5,5,5,1,2,4,6,6,2,0,3,4,0,0,2,6,5,1,3,2,3,5,2,3,3,4,6,5,0,2,3,0,7,1,1,2,5,0,2,0,3,1,0,0,0,1,3,0,1,3,5,4,0,0,0,0,2,0,0
"25",1,0,2,4,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,2,3,2,1,2,5,4,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,2,2,2,1,2,4,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,2,2,1,1,2,3,4,0
"26",2,1,3,3,1,1,3,5,5,4,2,0,2,0,0,0,1,2,2,1,1,2,1,3,1,2,1,2,2,4,2,2,2,2,3,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,2,1,3,4,1,0,1,2,1,1,0,1,1,0,1,1,3,3,1,1,1,1,4,1,3,1,3,2,2,0
"27",0,0,0,1,0,0,2,1,1,0,0,1,1,2,0,0,1,0,2,0,2,2,4,4,6,1,0,2,3,1,3,0,0,1,0,1,1,2,1,0,1,1,2,1,3,1,3,4,5,4,1,1,1,1,3,0,1,1,1,0,2,0,1,2,3,3,1,2,2,4,3,3,4,4,6,1,2,3,2,4,0
"28",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,3,3,5,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3,2,2,2,6,4,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,3,2,3,2,0
"29",1,2,3,5,4,1,2,1,3,1,1,0,0,1,0,1,1,1,1,0,3,3,4,4,3,2,1,4,3,3,0,0,1,2,0,0,0,1,1,0,1,1,3,3,2,3,2,4,3,6,1,2,0,1,3,0,0,1,2,2,6,2,2,1,6,6,2,3,2,6,5,3,4,4,7,6,2,2,2,7,0
"30",1,2,2,2,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,3,3,4,5,1,1,2,2,3,0,0,0,1,0,1,0,0,1,0,1,1,2,2,1,1,2,2,3,4,2,1,4,3,5,1,1,1,2,1,1,0,2,1,0,0,0,0,0,0,3,1,4,2,2,2,2,5,6,3,0
"31",2,0,2,3,0,1,1,1,1,3,0,0,1,2,0,0,2,1,0,0,0,0,2,2,0,2,0,1,3,0,0,3,5,3,3,0,0,0,0,0,3,0,2,4,2,1,1,7,2,5,1,1,4,3,3,1,1,2,3,0,1,1,3,4,0,1,0,0,2,0,1,1,1,2,0,0,0,2,3,0,1
"32",1,1,5,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,6,5,3,1,1,1,2,2,1,0,1,1,0,1,0,0,0,0,1,2,4,4,4,2,3,5,5,5,1,1,4,2,3,2,0,0,0,0,6,1,3,4,5,3,3,4,4,5,5,4,1,4,6,5,3,4,4,5,0
"34",1,1,5,1,1,2,1,3,1,3,3,3,1,4,2,1,1,2,4,2,1,1,5,1,0,0,2,4,2,4,2,0,3,2,1,0,0,1,1,0,4,0,1,1,1,1,1,2,3,2,3,2,2,4,0,0,0,1,1,0,2,0,0,2,0,1,0,2,2,1,1,2,5,6,0,0,2,0,5,0,1
"36",2,1,3,4,1,4,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,4,6,2,2,1,2,4,2,0,1,3,2,2,1,1,1,1,0,0,3,0,3,1,3,1,1,4,2,2,1,2,2,0,4,0,1,2,0,0,0,0,2,0,1,1,2,1,0,0,1,3,0,0,1
"37",0,0,1,0,0,0,1,0,3,0,1,1,0,0,0,1,0,3,2,0,0,2,0,0,0,0,2,2,2,2,0,3,4,2,4,0,1,0,0,0,0,2,2,2,0,0,3,4,0,3,1,1,0,0,0,1,1,3,2,0,1,1,2,3,0,1,1,0,1,0,0,2,1,2,0,2,1,0,0,0,1
"39",3,2,6,6,3,3,1,3,4,2,0,1,4,3,0,4,1,2,5,1,1,1,5,6,7,2,2,6,7,4,0,2,4,7,0,2,1,5,1,0,4,1,4,5,4,2,2,5,4,4,1,2,4,4,1,0,3,4,5,0,4,1,1,4,1,3,1,1,4,0,1,2,2,4,0,0,2,4,4,0,0
"40",1,1,1,2,0,0,1,1,1,0,0,2,4,2,5,0,0,4,3,2,0,0,1,1,0,1,1,2,2,3,0,1,4,2,4,0,0,0,0,0,1,0,1,1,2,1,1,5,1,6,1,1,1,1,1,0,0,1,1,0,2,0,3,2,1,1,0,2,0,0,1,1,2,1,0,1,0,2,1,1,0
