"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"1",388,30,140,80,31,1,104,101,128,9,19,21,97,6,234,334,27,7,6,6,4,0,6,6,83,9,12,17,89,8,146,208,151,10,37,14,8,1,7,14,15,0,0,1,8,1,7,7,79,10,10,18,7,0,10,7,200,18,11,12,140,12,117,94,24,0,8,6,2,0,7,4,9,1,1,0,8,1,19,26,1,0,1,0,2,0,1,2,6,0,1,0,10,1,15,12,68,4,14,5,6,0,17,8,5,1,1,0,14,4,13,20,103,9,12,9,2,2,15,13,162,9,4,7,171,24,91,142,85,93,16,202,13,6,11,170,9,19,1,10,11,10,11,128,13,10,0,21,0,1,1,12,12,15,1,9,11,11,4,104,15,10,0,7,0,1,2,13,1,1,0,0,0,1,0,1,19,16,0,9,1,2,1,11,12,13,0,6,8,14,4,30,98,88,13,146,6,5,17,178,7,12,0,2,12,15,11,94,5,8,0,12,0,0,1,17,14,15,1,16,10,33,9,147,222,185,9,110,20,15,14,88,9,3,0,0,18,12,10,30,386,175,4,110,13,9,7,131,104,83,2,31,93,152,33,507,0
"2",198,19,78,49,13,0,79,73,89,4,5,13,70,3,144,139,12,1,3,2,0,0,3,8,61,10,5,9,81,3,102,122,78,4,21,5,5,2,10,6,10,0,0,0,7,1,6,1,39,6,7,2,3,0,7,3,147,6,7,9,127,12,82,81,18,1,4,3,1,0,10,3,2,0,1,0,2,0,6,7,1,0,0,1,0,0,0,0,2,0,0,0,4,1,4,8,58,2,6,4,9,0,7,7,7,0,0,0,14,1,8,8,91,5,8,9,3,1,5,13,145,10,2,5,127,5,67,91,95,78,8,125,1,2,8,115,3,5,0,6,8,5,4,93,2,13,0,8,0,0,0,11,6,17,0,4,6,6,1,70,6,5,1,4,0,1,0,6,2,0,0,0,0,0,0,2,7,10,0,5,0,0,0,2,12,10,0,7,3,2,2,21,84,63,9,114,6,3,8,114,5,6,0,0,8,8,8,61,3,3,0,6,2,0,0,10,2,10,0,2,8,11,3,85,132,81,6,78,6,4,9,80,3,1,0,1,6,2,1,15,162,125,1,75,6,6,5,93,88,56,3,21,77,85,18,271,0
"5",4161,339,1292,1224,256,8,1207,1433,1539,83,185,182,1400,35,3266,2555,345,115,96,183,1,1,31,97,1337,170,278,317,1445,83,3220,3082,1338,111,172,136,77,4,108,98,150,5,2,3,139,9,90,51,1281,194,99,225,36,3,85,163,2963,315,80,178,2342,134,1698,1642,244,7,79,33,47,0,171,88,89,4,4,5,162,1,362,188,10,0,8,1,0,0,3,3,34,2,10,8,83,3,197,193,1245,35,138,96,147,1,190,146,144,3,4,3,305,1,219,98,1387,87,93,130,100,8,129,169,2413,152,48,92,2930,146,1644,1745,1523,1405,150,2924,75,24,145,2369,192,153,2,98,144,87,130,1753,78,187,4,265,8,2,3,165,159,194,3,171,90,109,60,1511,195,270,4,126,6,9,5,40,3,4,0,0,6,5,2,9,179,330,5,193,4,3,8,105,119,203,0,77,43,93,13,397,1389,1477,159,2381,155,87,254,2803,148,106,5,37,230,122,220,1545,34,81,3,133,3,2,8,143,83,141,7,99,116,135,92,1522,3274,3178,100,1802,300,193,225,1622,134,36,2,15,236,111,114,427,2647,3122,51,1639,184,167,99,1705,1773,1558,13,416,1510,1503,477,5830,0
"8",1195,81,419,374,85,5,395,409,388,19,41,43,350,4,768,574,80,12,28,49,2,0,11,21,372,34,35,56,382,17,555,668,403,23,71,49,14,2,49,17,43,0,0,0,38,0,26,15,400,40,43,56,9,0,22,38,848,77,36,57,623,41,418,392,85,2,24,14,19,0,41,30,19,2,2,1,63,0,68,29,2,0,2,2,0,0,2,0,13,0,1,0,28,0,47,42,404,16,53,23,46,0,71,34,60,3,0,1,76,0,49,22,442,24,28,39,22,1,43,33,862,63,21,31,752,45,425,411,400,335,48,771,32,9,59,756,36,39,1,39,37,25,25,412,17,56,4,78,1,0,1,55,26,55,4,71,26,40,14,401,47,40,3,47,1,1,0,14,2,0,0,1,0,5,0,9,28,67,0,59,0,0,0,29,31,60,1,21,10,30,4,115,370,415,43,608,38,31,66,695,36,35,0,8,61,44,49,429,19,28,2,65,1,1,0,47,24,49,0,29,40,54,34,492,799,620,29,443,71,44,51,395,23,16,0,4,59,23,27,104,655,800,15,422,50,41,17,438,507,414,7,140,445,524,120,1592,0
"10",581,28,220,160,28,4,131,158,162,15,19,19,175,4,325,311,43,5,13,27,0,0,3,14,168,16,21,31,257,7,347,316,243,9,63,34,9,0,29,8,19,0,1,0,23,0,9,2,161,18,20,28,5,2,17,12,318,38,11,27,565,16,301,195,36,3,8,5,9,0,21,6,5,1,0,2,24,0,25,13,1,0,2,0,0,0,1,1,5,0,3,1,12,1,30,24,170,5,24,14,13,0,20,14,17,2,1,0,26,0,25,14,175,7,11,13,8,0,16,19,295,18,5,14,353,19,194,192,191,182,22,310,6,3,25,262,24,15,0,11,12,11,15,190,8,23,0,36,0,0,0,15,16,27,0,28,12,25,10,194,23,27,1,15,0,1,0,11,2,1,0,0,1,0,0,2,16,38,1,22,0,0,0,10,10,11,0,10,7,13,0,39,164,348,16,578,22,15,27,351,16,18,3,4,30,21,31,215,8,11,0,26,0,0,0,20,8,25,2,13,17,32,12,201,383,511,13,366,33,24,21,207,21,9,0,2,31,10,12,51,328,396,4,222,17,17,17,221,212,227,2,59,221,236,64,717,0
"11",340,25,97,111,20,2,110,176,143,3,17,14,89,3,229,356,20,6,8,7,0,0,2,9,116,13,11,22,103,7,192,191,85,4,9,13,7,0,14,11,13,1,0,0,5,0,12,5,118,7,9,17,1,0,10,15,243,23,9,12,160,12,129,108,31,0,5,8,1,0,15,9,8,0,2,1,12,0,21,16,2,0,2,1,0,0,0,1,6,0,0,0,9,1,9,10,125,2,16,10,10,0,10,19,10,0,0,0,19,0,17,11,189,9,15,13,11,1,17,18,238,16,2,9,205,17,115,139,139,107,10,258,1,3,11,228,21,18,0,10,10,5,11,195,8,16,0,23,0,0,0,13,14,17,0,19,10,6,4,121,11,11,0,6,0,0,0,7,0,1,0,1,0,0,0,1,12,19,0,12,1,1,0,8,7,13,0,6,1,9,1,26,128,150,11,210,13,12,20,213,20,4,0,3,11,15,16,117,4,6,0,16,0,0,0,10,5,13,1,7,14,12,10,126,292,238,10,141,18,15,17,133,17,6,0,1,24,9,9,43,434,264,7,162,18,18,6,148,214,128,1,40,121,137,28,491,0
"12",639,39,214,181,53,0,200,260,233,14,22,15,217,8,443,376,36,11,18,26,0,0,5,11,200,26,23,44,258,14,348,399,191,10,27,21,8,0,25,16,31,0,1,0,25,0,19,5,197,24,16,32,9,1,13,22,468,47,14,31,319,22,287,229,34,2,13,7,4,0,11,15,14,0,2,0,29,0,42,18,1,0,1,0,0,0,0,1,8,1,0,0,14,0,22,29,216,8,19,16,22,0,26,20,18,1,0,1,49,1,37,22,254,13,15,22,13,0,31,22,361,23,5,18,408,22,231,255,246,224,21,490,12,11,25,400,18,25,1,23,14,20,23,248,11,25,1,50,1,1,1,34,24,26,0,37,17,15,10,227,19,22,0,23,0,1,0,8,2,0,0,0,0,0,0,2,20,45,2,38,0,1,1,28,18,21,0,12,7,13,1,64,224,258,22,368,29,9,30,368,19,18,3,6,47,28,22,216,8,11,0,23,0,0,3,26,11,17,0,19,23,40,17,252,483,374,14,244,45,27,19,281,12,9,0,0,29,11,12,59,358,390,7,238,17,30,23,237,250,226,4,66,226,209,58,932,0
"15",194,16,78,55,8,0,55,60,51,4,11,8,52,1,110,86,12,1,4,9,1,0,5,1,61,9,9,17,75,3,104,93,64,3,7,5,6,2,5,6,13,0,1,1,5,1,4,1,55,5,5,8,3,0,5,6,100,14,2,11,159,7,81,48,14,0,11,2,4,0,6,3,3,2,0,1,11,0,9,8,2,0,1,0,0,0,0,0,2,0,0,0,2,0,8,8,55,2,2,5,3,1,6,3,5,0,0,0,6,0,9,2,57,2,5,5,7,0,5,10,104,17,6,6,92,10,55,79,49,39,8,112,1,1,4,99,4,9,0,6,10,9,7,50,6,5,0,11,0,0,0,2,8,5,0,7,4,2,3,60,9,5,0,1,0,1,1,2,0,0,0,1,1,0,0,4,7,9,0,11,1,0,0,5,4,5,0,4,3,7,1,10,60,73,13,163,6,6,8,96,4,4,0,3,13,12,10,56,1,2,1,8,0,1,0,6,2,10,0,9,3,9,5,79,109,91,5,90,13,10,6,45,4,3,0,0,9,7,2,17,72,102,3,50,4,8,3,73,63,63,1,18,60,67,18,267,1
"17",108,8,37,38,5,0,37,52,41,2,5,5,33,2,91,56,10,0,1,4,1,0,4,0,30,8,6,9,42,1,46,60,27,3,3,4,2,2,5,5,4,0,0,0,2,2,2,3,27,4,2,3,2,0,2,4,86,9,7,2,63,5,28,30,8,0,0,3,1,0,5,1,1,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,0,1,0,4,0,8,2,37,0,2,5,3,0,7,5,4,0,0,0,10,0,1,2,55,4,5,2,2,0,6,9,65,5,1,7,52,3,28,39,38,28,4,90,5,4,7,78,3,6,0,3,1,4,4,37,2,1,0,9,0,0,0,5,3,4,0,8,0,2,1,39,2,1,0,1,1,0,0,2,0,0,0,0,0,1,0,1,5,5,0,6,0,0,2,4,2,6,0,3,2,2,0,14,37,49,3,48,2,2,6,63,4,0,0,1,6,7,4,39,1,3,0,3,0,1,0,0,2,6,0,2,3,6,1,39,78,52,4,29,9,7,3,23,5,2,0,0,3,4,5,14,77,62,2,33,2,4,2,54,45,33,0,9,50,33,12,167,0
"19",120,5,52,38,6,0,27,43,23,1,6,4,37,1,100,40,4,2,1,4,0,0,2,1,34,4,1,6,49,8,79,65,42,2,12,5,3,0,1,4,5,0,0,0,3,0,2,0,41,3,3,5,1,0,8,5,76,5,3,8,69,5,44,40,10,2,2,0,2,0,2,3,5,1,0,0,5,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,7,6,30,2,3,5,2,0,4,7,5,0,0,0,5,1,3,5,64,1,5,5,2,0,6,9,66,6,0,2,47,0,43,45,49,31,0,68,2,1,1,63,8,6,1,2,0,4,4,34,2,0,0,7,0,0,0,3,5,1,2,5,4,4,1,44,4,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,2,5,0,4,0,0,0,1,2,4,0,2,0,6,1,11,21,50,4,39,1,5,10,48,4,5,1,3,4,8,6,39,0,1,0,1,0,1,0,5,4,5,1,1,4,4,7,51,103,40,4,29,10,6,1,24,4,4,0,2,3,2,4,13,56,55,1,42,2,4,1,49,46,39,0,8,38,52,6,165,0
