"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","Class"
"1",0,0,0,0,0,4,2,4,3,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,7,5,2,2,6,4,8,8,8,2,3,3,5,4,4,8,10,17,16,14,6,13,25,25,38,38,38,24,19,14,26,33,32,33,38,37,38,24,39,32,33,39,80,286,627,1196,1502,1497,1053,585,316,139,60,34,36,31,36,31,43,48,92,62,46,43,20,26,15,15,15,13,8,5,21,11,4,17,8,19,13,12,25,21,32,24,21,16,16,30,28,22,12,10,9,14,10,13,7,14,9,7,7,10,10,11,13,13,11,18,6,12,15,8,14,11,25,18,17,11,12,16,13,6,13,7,8,5,3,4,6,7,2,5,5,2,5,2,0,5,2,6,2,3,2,4,1,3,2,3,3,2,2,4,4,1,3,1,4,0,1,0,5,4,2,1,1,0,3,0,1,1,1,3,2,2,3,3,2,2,4,1,2,6,1,3,0,4,3,1,0,1,1,2,0,0,1,1,1,0,0,0,1,0,0,2,4,0,1,1,1,1,0,1,0,0,1,0,1,3,2,1,4,2,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,25,58,93,224,468,542,778,829,670,720,474,265,153,82,44,24,14,19,19,21,23,15,14,16,18,10,22,16,11,13,17,18,8,17,11,9,10,8,9,11,3,3,3,2,4,4,6,10,2,1,2,6,3,5,5,1,3,4,3,2,4,1,1,2,3,4,6,3,2,1,1,4,5,7,4,4,6,5,3,8,4,0,2,3,1,3,3,2,4,3,2,6,1,3,1,1,4,5,1,0,0,0,2,2,1,3,2,0,1,2,3,2,3,0,2,2,1,0,1,0,2,2,0,2,2,2,2,1,2,2,0,1,3,3,2,1,2,3,1,1,2,3,1,2,2,1,2,3,1,3,1,2,3,1,1,1,2,2,0,1,2,0,0,1,0,2,0,1,1,0,2,0,0,3,1,3,1,2,2,3,3,0,1,1,1,2,1,1,1,2,1,0,1,0,1,1,2,1,1,1,1,1,0,1,0,0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,106,496,1374,3964,8597,14739,20010,21377,16836,14302,8844,4685,2369,1078,481,226,177,131,125,105,99,84,117,110,99,82,79,73,87,82,84,78,88,57,67,66,58,52,52,40,45,46,41,41,42,53,38,56,47,41,44,46,39,45,40,50,42,44,28,30,43,42,46,40,47,20,40,40,42,40,37,27,25,45,40,24,35,26,36,31,35,30,37,22,35,30,36,41,40,38,26,29,33,29,31,47,29,31,38,30,34,32,29,22,31,27,29,27,23,25,32,25,31,34,32,16,29,24,33,29,26,27,26,34,34,31,40,20,26,32,40,34,19,34,44,35,33,25,27,32,22,24,29,22,31,34,15,23,15,19,19,21,21,16,27,16,23,30,17,27,13,16,19,23,12,14,19,20,17,24,16,18,21,19,11,22,25,13,16,17,18,30,28,23,25,8,24,22,16,19,13,19,15,14,15,14,5,14,14,8,9,6,4,7,7,3,2,1,1,2,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,90,200,290,503,772,943,1117,1631,1826,2114,2253,2389,2334,2464,2530,2473,2265,1953,1576,1139,759,477,237,159,64,67,39,39,35,25,20,27,25,24,19,17,20,28,14,20,20,25,10,13,15,18,17,14,20,16,16,15,23,22,13,14,9,7,8,21,16,10,12,19,16,18,15,7,9,10,11,8,9,7,3,6,6,4,7,7,5,5,5,5,7,6,3,7,2,5,6,3,9,7,5,11,4,1,1,0,2,5,6,0,7,4,4,5,4,5,5,2,6,2,5,5,2,2,6,3,5,1,3,8,0,2,2,6,2,1,2,2,4,2,1,4,1,3,4,5,1,5,3,4,1,2,8,1,0,3,5,2,1,5,2,1,1,2,1,0,3,2,3,2,0,4,4,0,3,0,3,1,2,4,0,3,2,3,5,3,2,2,3,1,3,3,1,1,0,2,1,0,1,0,2,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,39,88,201,288,377,520,597,759,886,1087,1220,1346,1499,1451,1296,1079,853,585,423,231,139,70,29,18,7,15,11,14,6,4,7,5,8,5,9,7,9,7,7,9,5,2,5,8,10,4,3,3,4,2,3,5,5,1,8,2,5,7,10,9,8,3,12,9,6,6,8,5,6,4,8,7,3,3,4,3,3,4,4,2,3,3,2,7,5,6,5,1,4,2,2,1,2,8,5,5,2,1,3,5,7,3,8,5,7,9,1,3,6,7,6,2,4,0,3,2,5,2,2,3,3,1,2,0,2,4,8,2,6,2,4,6,15,10,11,7,6,10,4,3,4,7,7,6,7,4,4,5,1,6,6,5,3,7,4,3,3,3,5,3,6,4,4,7,3,3,3,2,5,5,4,4,6,6,11,17,9,9,6,6,4,7,5,3,5,2,6,4,5,4,7,6,4,15,7,15,8,7,9,4,13,11,18,18,18,24,19,21,26,21,27,27,19,23,26,20,27,19,21,28,39,27,43,37,50,48,55,59,54,73,37,43,17,6,1,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,15,39,83,130,203,288,382,426,502,571,656,710,716,696,718,703,589,517,381,325,256,209,192,151,162,137,119,116,82,74,52,57,40,24,18,13,6,14,10,5,14,7,9,4,4,3,8,9,11,10,3,6,2,4,7,6,5,9,6,10,7,7,6,4,2,4,5,10,7,5,9,8,3,4,10,7,6,4,6,1,5,9,6,9,10,14,4,2,9,6,5,2,8,6,7,5,9,5,4,12,4,5,5,3,5,5,7,4,10,5,6,2,6,9,3,7,5,7,11,6,4,5,3,2,9,6,7,3,6,2,8,7,4,4,5,9,2,2,4,2,2,4,5,6,4,4,2,5,6,6,2,1,3,1,4,1,0,4,4,3,2,3,3,3,4,3,3,2,6,1,3,1,0,1,1,7,3,0,3,2,0,3,2,1,2,0,1,1,0,1,2,2,3,0,1,0,1,1,0,2,1,0,1,0,2,0,1,0,3,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,41,94,197,316,561,803,903,1242,1258,1112,1249,1253,1067,1240,1220,1047,1102,949,717,680,563,364,294,146,73,49,26,22,10,20,10,5,13,9,6,10,5,7,10,6,4,9,6,8,3,7,6,6,3,5,10,5,3,3,5,3,5,4,3,2,8,3,4,2,2,2,8,5,2,4,2,3,4,4,1,3,4,3,3,3,5,3,2,1,3,3,6,1,1,0,4,2,3,3,4,3,1,0,7,1,1,1,2,2,6,4,1,0,3,1,1,3,1,3,1,2,2,3,1,1,3,1,2,1,4,1,1,1,1,3,2,3,0,1,1,1,1,0,0,0,0,5,2,2,2,0,0,2,1,0,2,2,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,2,0,0,3,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,62,150,325,525,702,801,777,583,452,256,157,80,34,13,16,10,3,6,3,7,4,6,3,6,2,8,1,8,4,3,3,2,3,4,0,0,2,1,4,2,1,0,4,4,5,4,5,2,4,3,4,3,3,0,3,2,1,3,1,3,1,5,0,2,2,5,1,2,3,4,1,1,2,2,2,2,2,1,1,2,2,4,0,3,2,0,3,1,3,1,3,2,2,2,0,2,3,1,3,0,3,3,2,1,4,1,3,1,4,3,0,0,2,3,5,1,2,3,0,0,0,4,2,2,2,2,2,1,1,1,3,2,1,4,4,1,1,8,2,0,2,0,4,2,3,1,6,1,2,1,3,1,1,5,0,2,1,2,3,1,1,0,0,1,2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,2,0,2,1,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,28,49,109,204,362,407,436,423,337,229,198,95,54,38,25,18,12,20,5,7,5,11,3,9,2,4,7,6,2,11,0,2,2,4,3,5,7,4,4,3,2,1,2,4,3,5,3,1,3,10,2,3,3,2,4,2,3,6,3,2,3,2,0,3,0,1,2,4,5,1,1,2,0,1,2,1,3,1,3,4,0,1,2,1,1,2,0,1,0,2,0,3,3,2,2,4,2,1,0,3,2,3,0,2,1,2,1,0,1,2,0,2,1,2,1,2,0,1,1,1,0,1,0,1,0,0,3,2,1,1,0,2,0,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,4,5,5,29,49,89,161,308,377,515,443,393,305,179,114,64,36,13,10,6,2,7,4,1,2,4,2,4,3,6,4,3,9,2,0,4,3,2,5,1,4,3,3,2,3,4,3,6,1,1,2,3,5,1,1,1,1,5,1,0,0,1,2,4,3,1,2,4,2,2,1,3,0,2,1,3,1,2,0,3,2,1,1,2,1,2,2,0,0,3,3,1,2,0,0,3,2,2,0,0,0,2,1,2,2,1,0,0,1,1,2,0,1,4,0,1,1,2,0,2,0,0,4,1,1,0,1,2,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,3,0,1,0,1,0,0,0,3,1,0,1,1,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
