"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","Class"
"1",0.451741843032185,0.451741843182959,0.451741838466559,0.451741834518394,0.451741852318407,0.451741846634899,0.45174183705003,0.451741835777078,0.451741846914409,0.451741843032185,0.451741845029834,0.451741835777078,0.451741850883337,0.451741846634899,0.451741846634899,0.451741850883337,0.451741835777078,0.451741845029834,0.613509647246974,0.613509647301267,0.613509645602112,0.613509644179717,0.613509650592512,0.613509648544922,0.613509645091766,0.613509644633196,0.613509648645607,0.613509647246974,0.613509647966666,0.613509644633196,0.613509650075494,0.613509648544922,0.613509648544922,0.613509650075494,0.613509644633196,0.613509647966666,0.538814091253278,0.538814091432014,0.538814085841131,0.538814081160904,0.538814102261231,0.538814095523976,0.538814084161964,0.538814082653022,0.538814095855291,0.538814091253278,0.538814093621356,0.538814082653022,0.538814100560102,0.538814095523976,0.538814095523976,0.538814100560102,0.538814082653022,0.538814093621356,0.750219578673064,0.750219578755987,0.750219576161211,0.750219573989058,0.750219583782086,0.750219580655159,0.750219575381896,0.750219574681504,0.750219580808931,0.750219578673064,0.750219579772145,0.750219574681504,0.750219582992532,0.750219580655159,0.750219580655159,0.750219582992532,0.750219574681504,0.750219579772145,0.86303394083201,0.959629002980071,0.894430400827135,0.793900119594111,0.689752463400509,0
"2",0.45112263008831,0.451122630238568,0.451122625538305,0.451122621603639,0.451122639342758,0.4511226336787,0.451122624126632,0.451122622858042,0.45112263395725,0.45112263008831,0.451122632079129,0.451122622858042,0.451122637912608,0.4511226336787,0.4511226336787,0.451122637912608,0.451122622858042,0.451122632079129,0.611665912488032,0.611665912541517,0.611665910869303,0.611665909469443,0.611665915780467,0.61166591376538,0.611665910367071,0.611665909915746,0.611665913864496,0.611665912488032,0.611665913196324,0.611665909915746,0.611665915271654,0.61166591376538,0.61166591376538,0.611665915271654,0.611665909915746,0.611665913196324,0.541103507829459,0.541103508008986,0.541103502393157,0.541103497692035,0.541103518886546,0.541103512119227,0.541103500706495,0.541103499190808,0.541103512452,0.541103507829459,0.541103510208081,0.541103499190808,0.541103517177827,0.541103512119227,0.541103512119227,0.541103517177827,0.541103499190808,0.541103510208081,0.753992964655336,0.753992964739157,0.75399296211699,0.753992959921908,0.753992969818257,0.753992966658368,0.75399296132945,0.753992960621707,0.753992966813766,0.753992964655336,0.753992965766015,0.753992960621707,0.753992969020394,0.753992966658368,0.753992966658368,0.753992969020394,0.753992960621707,0.753992965766015,0.867989826195115,0.97854885162845,0.899115362789501,0.792781595449749,0.684796577816921,0
"5",0.455278952846713,0.455278952997802,0.455278948263646,0.455278944301026,0.455278962167679,0.455278956462709,0.455278946842123,0.455278945565019,0.455278956743345,0.455278952846713,0.455278954851519,0.455278945565019,0.4552789607273,0.455278956462709,0.455278956462709,0.4552789607273,0.455278945565019,0.455278954851519,0.617352396216973,0.61735239627129,0.617352394578902,0.617352393162084,0.617352399549265,0.617352397509229,0.617352394070108,0.617352393613226,0.617352397609859,0.617352396216973,0.617352396933402,0.617352393613226,0.617352399034153,0.617352397509229,0.617352397509229,0.617352399034153,0.617352393613226,0.617352396933402,0.543198619124636,0.54319861930507,0.543198613663587,0.543198608941085,0.543198630230997,0.543198623433738,0.54319861196907,0.543198610446747,0.543198623767893,0.543198619124636,0.54319862151349,0.543198610446747,0.543198628514986,0.543198623433738,0.543198623433738,0.543198628514986,0.543198610446747,0.54319862151349,0.757861103444822,0.757861103529613,0.757861100867319,0.757861098638568,0.757861108687094,0.757861105478689,0.757861100067511,0.757861099349617,0.757861105636338,0.757861103444822,0.757861104572711,0.757861099349617,0.757861107876545,0.757861105478689,0.757861105478689,0.757861107876545,0.757861099349617,0.757861104572711,0.861896089316449,0.973595408672814,0.908207016289557,0.800600266736216,0.690890315210516,0
"8",0.479950978156819,0.479950978315276,0.479950973358941,0.479950969209823,0.479950987915534,0.479950981942878,0.479950971870333,0.479950970532591,0.479950982236532,0.479950978156819,0.479950980256067,0.479950970532591,0.479950986407467,0.479950981942878,0.479950981942878,0.479950986407467,0.479950970532591,0.479950980256067,0.653122428639601,0.653122428699012,0.653122426837689,0.653122425279506,0.653122432304149,0.653122430061279,0.653122426278728,0.653122425776553,0.653122430171538,0.653122428639601,0.653122429427926,0.653122425776553,0.653122431737985,0.653122430061279,0.653122430061279,0.653122431737985,0.653122425776553,0.653122429427926,0.550267697469574,0.550267697652855,0.550267691923062,0.550267687126441,0.55026770875112,0.55026770184646,0.550267690202132,0.550267688655582,0.550267702185961,0.550267697469574,0.550267699896468,0.550267688655582,0.550267707007647,0.55026770184646,0.55026770184646,0.550267707007647,0.550267688655582,0.550267699896468,0.771459257047449,0.771459257137646,0.7714592543172,0.771459251956243,0.771459262600628,0.771459259202031,0.771459253470157,0.771459252708911,0.771459259368963,0.771459257047449,0.771459258241931,0.771459252708911,0.771459261742435,0.771459259202031,0.771459259202031,0.771459261742435,0.771459252708911,0.771459258241931,0.817222283669301,0.929024442498723,0.955357600857872,0.846178062856014,0.735564120721575,0
"10",0.487070325787443,0.487070325948244,0.487070320916217,0.487070316703875,0.487070335695099,0.487070329631248,0.487070319404965,0.487070318046778,0.487070329929454,0.487070325787443,0.487070327918802,0.487070318046778,0.487070334164051,0.487070329631248,0.487070329631248,0.487070334164051,0.487070318046778,0.487070327918802,0.664784439745938,0.664784439808195,0.664784437859267,0.664784436227773,0.664784443583175,0.664784441234616,0.664784437273991,0.664784436747901,0.664784441350139,0.664784439745938,0.664784440571403,0.664784436747901,0.664784442990163,0.664784441234616,0.664784441234616,0.664784442990163,0.664784436747901,0.664784440571403,0.547550499461992,0.547550499644155,0.547550493945565,0.547550489175108,0.547550510682049,0.547550503814951,0.547550492234015,0.547550490696036,0.547550504152578,0.547550499461992,0.547550501875613,0.547550490696036,0.547550508948152,0.547550503814951,0.547550503814951,0.547550508948152,0.547550490696036,0.547550501875613,0.766723871110776,0.766723871199643,0.766723868421026,0.766723866095173,0.766723876581427,0.766723873233247,0.76672386758666,0.76672386683662,0.766723873397944,0.766723871110776,0.766723872287712,0.76672386683662,0.766723875736076,0.766723873233247,0.766723873233247,0.766723875736076,0.76672386683662,0.766723872287712,0.795724924267108,0.907528323142031,0.947057604915876,0.854541438546036,0.75706148023975,0
"11",0.490605568976256,0.490605569138028,0.490605564076652,0.490605559839752,0.490605578941639,0.490605572842462,0.490605562556584,0.490605561190483,0.490605573142403,0.490605568976256,0.490605571120015,0.490605561190483,0.490605577401618,0.490605572842462,0.490605572842462,0.490605577401618,0.490605561190483,0.490605571120015,0.669486820103946,0.66948682016651,0.669486818208575,0.669486816569512,0.669486823959008,0.669486821599556,0.669486817620491,0.669486817092042,0.669486821715575,0.669486820103946,0.669486820933227,0.669486817092042,0.669486823363215,0.669486821599556,0.669486821599556,0.669486823363215,0.669486817092042,0.669486820933227,0.55109246059257,0.551092460776056,0.551092455035341,0.551092450229654,0.551092471895616,0.551092464977735,0.551092453311139,0.551092451761749,0.55109246531791,0.55109246059257,0.551092463024093,0.551092451761749,0.551092470148892,0.551092464977735,0.551092464977735,0.551092470148892,0.551092451761749,0.551092463024093,0.773166593722209,0.773166593813139,0.773166590969255,0.773166588588583,0.773166599321612,0.773166595894558,0.77316659011514,0.77316658934758,0.773166596063148,0.773166593722209,0.773166594926791,0.77316658934758,0.773166598456314,0.773166595894558,0.773166595894558,0.773166598456314,0.77316658934758,0.773166594926791,0.794450016184699,0.906253415059654,0.97031502680071,0.867388395367229,0.758336388262497,0
"12",0.471549570307228,0.471549570463111,0.471549565585928,0.4715495615031,0.471549579910172,0.471549574032801,0.471549564121059,0.471549562804735,0.47154957432187,0.471549570307228,0.471549572373027,0.471549562804735,0.471549578426202,0.471549574032801,0.471549574032801,0.471549578426202,0.471549562804735,0.471549572373027,0.640607960605926,0.640607960663225,0.640607958867909,0.6406079573649,0.640607964140828,0.640607961977295,0.640607958328646,0.640607957844129,0.640607962083673,0.640607960605926,0.640607961366346,0.640607957844129,0.640607963594486,0.640607961977295,0.640607961977295,0.640607963594486,0.640607957844129,0.640607961366346,0.548685310775745,0.548685310958297,0.548685305248763,0.548685300469203,0.548685322017408,0.548685315137095,0.548685303533973,0.548685301992975,0.548685315475435,0.548685310775745,0.548685313194124,0.548685301992975,0.548685320280147,0.548685315137095,0.548685315137095,0.548685320280147,0.548685301992975,0.548685313194124,0.768331006691925,0.768331006780908,0.768331003999394,0.768331001670931,0.768331012168503,0.768331008816713,0.768331003163976,0.768331002413227,0.768331008981519,0.768331006691925,0.768331007870065,0.768331002413227,0.768331011322168,0.768331008816713,0.768331008816713,0.768331011322168,0.768331002413227,0.768331007870065,0.83371581688168,0.945519215756624,0.940632980210234,0.830334833705413,0.719070587563987,0
"15",0.441180755178589,0.441180755326191,0.441180750709095,0.441180746844045,0.441180764269264,0.441180758705443,0.441180749322414,0.441180748076272,0.441180758979053,0.441180755178589,0.441180757134183,0.441180748076272,0.441180762864421,0.441180758705443,0.441180758705443,0.441180762864421,0.441180748076272,0.441180757134183,0.597770269029767,0.59777026908138,0.597770267466454,0.597770266114532,0.597770272209463,0.597770270263402,0.597770266981411,0.597770266545534,0.597770270359088,0.597770269029767,0.597770269713819,0.597770266545534,0.59777027171809,0.597770270263402,0.597770270263402,0.59777027171809,0.597770266545534,0.597770269713819,0.537366927133961,0.537366927312033,0.537366921741723,0.537366917078721,0.537366938101455,0.537366931388955,0.537366920068746,0.537366918565323,0.537366931719046,0.537366927133961,0.537366929493296,0.537366918565323,0.537366936406571,0.537366931388955,0.537366931388955,0.537366936406571,0.537366918565323,0.537366929493296,0.747062979565397,0.747062979646892,0.747062977097354,0.747062974963084,0.747062984585304,0.747062981512968,0.747062976331608,0.7470629756435,0.74706298166406,0.747062979565397,0.747062980645318,0.7470629756435,0.747062983809534,0.747062981512968,0.747062981512968,0.747062983809534,0.7470629756435,0.747062980645318,0.884997004968674,0.983984568547859,0.882843675609471,0.776273396968866,0.667789394255844,1
"17",0.458993266752436,0.458993266904836,0.458993262137894,0.458993258147417,0.458993276138147,0.458993270393756,0.458993260706205,0.458993259419615,0.45899327067624,0.458993266752436,0.458993268771503,0.458993259419615,0.458993274687711,0.458993270393756,0.458993270393756,0.458993274687711,0.458993259419615,0.458993268771503,0.62268890060026,0.622688900655161,0.622688898938334,0.622688897501141,0.622688903980548,0.622688901911697,0.622688898422692,0.622688897959334,0.622688902013447,0.62268890060026,0.622688901327446,0.622688897959334,0.622688903458174,0.622688901911697,0.622688901911697,0.622688903458174,0.622688897959334,0.622688901327446,0.544347192519136,0.544347192699939,0.544347187044431,0.544347182310137,0.544347203654339,0.544347196839201,0.54434718534588,0.544347183819469,0.54434719717434,0.544347192519136,0.544347194914558,0.544347183819469,0.544347201933562,0.544347196839201,0.544347196839201,0.544347201933562,0.544347183819469,0.544347194914558,0.760046032552452,0.760046032638346,0.760046029951318,0.760046027701967,0.760046037842997,0.760046034604993,0.760046029144302,0.760046028419082,0.760046034764224,0.760046032552452,0.760046033690558,0.760046028419082,0.760046037025403,0.760046034604993,0.760046034604993,0.760046037025403,0.760046028419082,0.760046033690558,0.855263553142062,0.966827512508247,0.914607540143392,0.807301853440457,0.697522851196923,0
"19",0.448252476525491,0.448252476674949,0.448252471999532,0.448252468085672,0.44825248573098,0.448252480096887,0.448252470595354,0.448252469333458,0.448252480373937,0.448252476525491,0.448252478505778,0.448252469333458,0.448252484308394,0.448252480096887,0.448252480096887,0.448252484308394,0.448252469333458,0.448252478505778,0.607566852169807,0.607566852222675,0.607566850569382,0.607566849185357,0.607566855425022,0.60756685343271,0.607566850072811,0.607566849626602,0.607566853530694,0.607566852169807,0.60756685287008,0.607566849626602,0.607566854921976,0.60756685343271,0.60756685343271,0.607566854921976,0.607566849626602,0.60756685287008,0.540366714254041,0.540366714433279,0.54036670882668,0.54036670413333,0.540366725292937,0.540366718536741,0.540366707142818,0.540366705629618,0.540366718868971,0.540366714254041,0.540366716628745,0.540366705629618,0.540366723587027,0.540366718536741,0.540366718536741,0.540366723587027,0.540366705629618,0.540366716628745,0.75258017377097,0.752580173854276,0.752580171248148,0.752580169066508,0.752580178902267,0.752580175761731,0.752580170465416,0.752580169762027,0.752580175916183,0.75258017377097,0.752580174874829,0.752580169762027,0.752580178109296,0.752580175761731,0.752580175761731,0.752580178109296,0.752580169762027,0.752580174874829,0.873520390369023,0.982688980320067,0.895250692999866,0.788590250677483,0.679266012820424,0
